Ingredient1,Ingredient2,Cocktail_Count
151 proof rum,cream,1
amaretto,irish cream,1
amaretto,cream,1
irish cream,kahlua,1
cream,irish cream,1
angostura bitters,pernod,1
grenadine,pernod,1
151 proof rum,pernod,1
pernod,rum,1
fresh lime juice,pernod,1
gold rum,pernod,1
151 proof rum,angostura bitters,1
angostura bitters,rum,1
angostura bitters,gold rum,1
gold rum,grenadine,1
151 proof rum,rum,1
151 proof rum,fresh lime juice,1
151 proof rum,gold rum,1
gold rum,rum,1
blue curacao,blueberry schnapps,1
7-up,blue curacao,1
blueberry schnapps,vodka,1
blueberry schnapps,sour mix,1
7-up,blueberry schnapps,1
7-up,sour mix,1
7-up,gin,1
7-up,fresh lemon juice,1
7-up,orange juice,1
apricot brandy,vodka,1
7-up,apricot brandy,1
apricot brandy,champagne,1
7-up,champagne,1
7-up,tequila,1
creme de cassis,root beer,1
beer,root beer,1
lemon,root beer,1
coca-cola,root beer,1
7-up,root beer,1
lemonade,root beer,1
beer,creme de cassis,1
creme de cassis,lemon,1
coca-cola,creme de cassis,1
7-up,creme de cassis,1
creme de cassis,lemonade,1
beer,lemon,1
beer,coca-cola,1
7-up,lemon,1
7-up,coca-cola,1
coca-cola,lemonade,1
7-up,lemonade,1
absinthe,gin,1
absinthe,lillet blanc,1
absinthe,fresh lemon juice,1
absinthe,triple sec,1
fresh lemon juice,lillet blanc,1
lillet blanc,triple sec,1
absinthe,champagne,1
absinthe,grenadine,1
absinthe,tequila,1
absolut citron,strawberry liqueur,1
absolut citron,orange curacao,1
orange juice,strawberry liqueur,1
orange curacao,strawberry liqueur,1
orange curacao,orange juice,1
absolut citron,bitter lemon,1
bitter lemon,pisang ambon,1
absolut citron,pisang ambon,1
ice,pisang ambon,1
absolut citron,tonic water,1
absolut citron,fresh lime juice,1
fresh lime juice,tonic water,1
soda water,sweet and sour,1
absolut citron,soda water,1
soda water,sprite,1
lemon,sprite,1
absolut citron,sweet and sour,1
sprite,sweet and sour,1
absolut citron,sprite,1
absolut citron,triple sec,1
absolut citron,ginger ale,1
ginger ale,triple sec,1
absolut citron,grand marnier,1
club soda,grand marnier,1
absolut citron,club soda,1
absolut citron,fresh lemon juice,1
absolut kurant,cranberry juice,1
absolut kurant,midori melon liqueur,1
absolut kurant,sprite,1
midori melon liqueur,sprite,1
absolut kurant,tea,1
absolut kurant,sugar,1
absolut peppar,firewater,1
firewater,tabasco sauce,1
absolut peppar,tabasco sauce,1
absolut vodka,peach schnapps,1
absolut vodka,coconut liqueur,1
absolut vodka,pineapple juice,1
coconut liqueur,peach schnapps,1
peach schnapps,pineapple juice,1
coconut liqueur,cranberry juice,1
cranberry juice,ice,1
absolut vodka,ice,1
absolut vodka,ginger ale,1
absolut vodka,iced tea,1
absolut vodka,gin,1
absolut vodka,tonic water,1
advocaat,sambuca,1
advocaat,ice,1
advocaat,lemonade,1
advocaat,lemon,1
agave syrup,champagne,1
cachaca,champagne,1
agave syrup,cachaca,1
agave syrup,fresh lemon juice,1
cachaca,fresh lemon juice,1
agave syrup,pepper,1
agave syrup,grapefruit juice,1
cinnamon,vodka,1
cinnamon,coriander,1
allspice,vodka,1
coriander,vodka,1
allspice,water,1
allspice,coriander,1
coriander,water,1
cinnamon,nutmeg,1
cinnamon,lemonade,1
allspice,cloves,1
cloves,nutmeg,1
cloves,lemonade,1
allspice,orange juice,1
nutmeg,orange juice,1
lemonade,orange juice,1
allspice,brown sugar,1
brown sugar,nutmeg,1
brown sugar,lemonade,1
allspice,nutmeg,1
allspice,lemonade,1
lemonade,nutmeg,1
orange spiral,sugar,1
allspice,orange spiral,1
orange spiral,rum,1
champagne,orange spiral,1
fresh lime juice,orange spiral,1
allspice,rum,1
allspice,champagne,1
allspice,fresh lime juice,1
champagne,rum,1
champagne,fresh lime juice,1
almond flavoring,grain alcohol,1
brandy,grain alcohol,1
almond flavoring,water,1
almond flavoring,brandy,1
ginger ale,sugar,1
cranberry juice,sugar,1
almond flavoring,ginger ale,1
ginger ale,pineapple juice,1
almond flavoring,pineapple juice,1
